ts_code,symbol,name,area,industry,list_date,filter_time
002199.SZ,002199,东晶电子,浙江,元器件,20071221,2025-01-09 19:14:53
002201.SZ,002201,正威新材,江苏,玻璃,20071226,2025-01-09 19:14:53
002205.SZ,002205,国统股份,新疆,水泥,20080123,2025-01-09 19:14:53
002208.SZ,002208,合肥城建,安徽,区域地产,20080128,2025-01-09 19:14:53
002209.SZ,002209,达意隆,广东,轻工机械,20080130,2025-01-09 19:14:53
002211.SZ,002211,宏达新材,上海,橡胶,20080201,2025-01-09 19:14:53
002212.SZ,002212,天融信,广东,软件服务,20080201,2025-01-09 19:14:53
002214.SZ,002214,大立科技,浙江,电器仪表,20080218,2025-01-09 19:14:53
002216.SZ,002216,三全食品,河南,食品,20080220,2025-01-09 19:14:53
002218.SZ,002218,拓日新能,深圳,新型电力,20080228,2025-01-09 19:14:53
002227.SZ,002227,奥特迅,深圳,电气设备,20080506,2025-01-09 19:14:53
002231.SZ,002231,奥维通信,辽宁,通信设备,20080512,2025-01-09 19:14:53
002232.SZ,002232,启明信息,吉林,软件服务,20080509,2025-01-09 19:14:53
002235.SZ,002235,安妮股份,福建,造纸,20080516,2025-01-09 19:14:53
002238.SZ,002238,天威视讯,深圳,影视音像,20080526,2025-01-09 19:14:53
002240.SZ,002240,盛新锂能,四川,小金属,20080523,2025-01-09 19:14:53
002242.SZ,002242,九阳股份,山东,家用电器,20080528,2025-01-09 19:14:53
002243.SZ,002243,力合科创,深圳,广告包装,20080528,2025-01-09 19:14:53
002246.SZ,002246,北化股份,四川,化工原料,20080605,2025-01-09 19:14:53
002248.SZ,002248,华东数控,山东,机床制造,20080612,2025-01-09 19:14:53
002253.SZ,002253,川大智胜,四川,软件服务,20080623,2025-01-09 19:14:53
002261.SZ,002261,拓维信息,湖南,软件服务,20080723,2025-01-09 19:14:53
002268.SZ,002268,电科网安,四川,IT设备,20080811,2025-01-09 19:14:53
002270.SZ,002270,华明装备,山东,电气设备,20080905,2025-01-09 19:14:53
002272.SZ,002272,川润股份,四川,机械基件,20080919,2025-01-09 19:14:53
002277.SZ,002277,友阿股份,湖南,百货,20090717,2025-01-09 19:14:53
002279.SZ,002279,久其软件,北京,软件服务,20090811,2025-01-09 19:14:53
002283.SZ,002283,天润工业,山东,汽车配件,20090821,2025-01-09 19:14:53
002290.SZ,002290,禾盛新材,江苏,家用电器,20090903,2025-01-09 19:14:53
002291.SZ,002291,遥望科技,广东,广告包装,20090903,2025-01-09 19:14:53
002292.SZ,002292,奥飞娱乐,广东,影视音像,20090910,2025-01-09 19:14:53
002295.SZ,002295,精艺股份,广东,铜,20090929,2025-01-09 19:14:53
002296.SZ,002296,辉煌科技,河南,通信设备,20090929,2025-01-09 19:14:53
002297.SZ,002297,博云新材,湖南,航空,20090929,2025-01-09 19:14:53
002298.SZ,002298,中电兴发,安徽,软件服务,20090929,2025-01-09 19:14:53
002299.SZ,002299,圣农发展,福建,农业综合,20091021,2025-01-09 19:14:53
002301.SZ,002301,齐心集团,深圳,文教休闲,20091021,2025-01-09 19:14:53
002303.SZ,002303,美盈森,深圳,造纸,20091103,2025-01-09 19:14:53
002307.SZ,002307,北新路桥,新疆,建筑工程,20091111,2025-01-09 19:14:53
002312.SZ,002312,川发龙蟒,四川,化工原料,20091203,2025-01-09 19:14:53
002319.SZ,002319,乐通股份,广东,染料涂料,20091211,2025-01-09 19:14:53
002320.SZ,002320,海峡股份,海南,水运,20091216,2025-01-09 19:14:53
002324.SZ,002324,普利特,上海,塑料,20091218,2025-01-09 19:14:53
002329.SZ,002329,皇氏集团,广西,乳制品,20100106,2025-01-09 19:14:53
002331.SZ,002331,皖通科技,安徽,软件服务,20100106,2025-01-09 19:14:53
002334.SZ,002334,英威腾,深圳,电气设备,20100113,2025-01-09 19:14:53
002337.SZ,002337,赛象科技,天津,化工机械,20100115,2025-01-09 19:14:53
002339.SZ,002339,积成电子,山东,电气设备,20100122,2025-01-09 19:14:53
002344.SZ,002344,海宁皮城,浙江,商品城,20100126,2025-01-09 19:14:53
002347.SZ,002347,泰尔股份,安徽,机械基件,20100128,2025-01-09 19:14:53
002348.SZ,002348,高乐股份,广东,文教休闲,20100203,2025-01-09 19:14:53
002350.SZ,002350,北京科锐,北京,电气设备,20100203,2025-01-09 19:14:53
002351.SZ,002351,漫步者,深圳,IT设备,20100205,2025-01-09 19:14:53
002355.SZ,002355,兴民智通,山东,汽车配件,20100209,2025-01-09 19:14:53
002356.SZ,002356,赫美集团,深圳,其他商业,20100209,2025-01-09 19:14:53
002358.SZ,002358,森源电气,河南,电气设备,20100210,2025-01-09 19:14:53
002369.SZ,002369,卓翼科技,深圳,通信设备,20100316,2025-01-09 19:14:53
002373.SZ,002373,千方科技,北京,软件服务,20100318,2025-01-09 19:14:53
002375.SZ,002375,亚厦股份,浙江,装修装饰,20100323,2025-01-09 19:14:53
002378.SZ,002378,章源钨业,江西,小金属,20100331,2025-01-09 19:14:53
002381.SZ,002381,双箭股份,浙江,橡胶,20100402,2025-01-09 19:14:53
002383.SZ,002383,合众思壮,北京,通信设备,20100402,2025-01-09 19:14:53
002389.SZ,002389,航天彩虹,浙江,航空,20100413,2025-01-09 19:14:53
002390.SZ,002390,信邦制药,贵州,医药商业,20100416,2025-01-09 19:14:53
002392.SZ,002392,北京利尔,北京,其他建材,20100423,2025-01-09 19:14:53
002395.SZ,002395,双象股份,江苏,塑料,20100429,2025-01-09 19:14:53
002398.SZ,002398,垒知集团,福建,其他建材,20100506,2025-01-09 19:14:53
002400.SZ,002400,省广集团,广东,广告包装,20100506,2025-01-09 19:14:53
002401.SZ,002401,中远海科,上海,软件服务,20100506,2025-01-09 19:14:53
002402.SZ,002402,和而泰,深圳,元器件,20100511,2025-01-09 19:14:53
